,base,clouds,cod,coord,dt,id,main,message,name,rain,snow,sys,visibility,weather,wind
0,stations,{'all': 75},200,"{'lon': -4.21, 'lat': 51.04}",1547396400.0,2641434.0,"{'temp': 283.15, 'pressure': 1017, 'humidity': 93, 'temp_min': 283.15, 'temp_max': 283.15}",,Northam,,,"{'type': 1, 'id': 1472, 'message': 0.0041, 'country': 'GB', 'sunrise': 1547367301, 'sunset': 1547397405}",10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 6.2, 'deg': 290}"
1,stations,{'all': 0},200,"{'lon': 147.06, 'lat': -42.78}",1547395200.0,2155415.0,"{'temp': 288.15, 'pressure': 1019, 'humidity': 82, 'temp_min': 288.15, 'temp_max': 288.15}",,New Norfolk,,,"{'type': 1, 'id': 9545, 'message': 0.0038, 'country': 'AU', 'sunrise': 1547318979, 'sunset': 1547373044}",10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 3.6, 'deg': 320}"
2,stations,{'all': 0},200,"{'lon': 2.18, 'lat': 41.38}",1547395200.0,3128760.0,"{'temp': 286.14, 'pressure': 1020, 'humidity': 50, 'temp_min': 285.15, 'temp_max': 287.15}",,Barcelona,,,"{'type': 1, 'id': 6398, 'message': 0.0071, 'country': 'ES', 'sunrise': 1547363744, 'sunset': 1547397888}",10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 4.6, 'deg': 330}"
3,stations,{'all': 0},200,"{'lon': 74.49, 'lat': 15.34}",1547397760.0,1273574.0,"{'temp': 290.551, 'pressure': 962.09, 'humidity': 77, 'temp_min': 290.551, 'temp_max': 290.551, 'sea_level': 1027.38, 'grnd_level': 962.09}",,Vaini,,,"{'message': 0.0029000000000000002, 'country': 'IN', 'sunrise': 1547343103, 'sunset': 1547383800}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 1.51, 'deg': 79.5027}"
4,stations,{'all': 5},200,"{'lon': -109.91, 'lat': 22.89}",1547394420.0,3985710.0,"{'temp': 293.05, 'pressure': 1019, 'humidity': 53, 'temp_min': 291.15, 'temp_max': 295.15}",,Cabo San Lucas,,,"{'type': 1, 'id': 7151, 'message': 0.0097, 'country': 'MX', 'sunrise': 1547388153, 'sunset': 1547427287}",16093.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02d'}]","{'speed': 2.21, 'deg': 1.00266}"
5,stations,{'all': 88},200,"{'lon': 77.6, 'lat': 60.73}",1547395200.0,1490796.0,"{'temp': 264.15, 'pressure': 1011, 'humidity': 78, 'temp_min': 264.15, 'temp_max': 264.15}",,Strezhevoy,,,"{'type': 1, 'id': 8986, 'message': 0.0033, 'country': 'RU', 'sunrise': 1547351154, 'sunset': 1547374279}",9000.0,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]","{'speed': 7, 'deg': 200}"
6,stations,{'all': 90},200,"{'lon': -73.48, 'lat': 45.36}",1547395200.0,6138908.0,"{'temp': 259.64, 'pressure': 1036, 'humidity': 72, 'temp_min': 258.25, 'temp_max': 261.15}",,Saint-Philippe,,,"{'type': 1, 'id': 820, 'message': 0.0047, 'country': 'CA', 'sunrise': 1547382632, 'sunset': 1547415328}",14484.0,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",{'speed': 1}
7,stations,{'all': 8},200,"{'lon': 19.24, 'lat': -34.42}",1547397760.0,3366880.0,"{'temp': 292.701, 'pressure': 986.25, 'humidity': 58, 'temp_min': 292.701, 'temp_max': 292.701, 'sea_level': 1025.6, 'grnd_level': 986.25}",,Hermanus,,,"{'message': 0.004, 'country': 'ZA', 'sunrise': 1547351092, 'sunset': 1547402310}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02d'}]","{'speed': 2.86, 'deg': 268.003}"
8,stations,{'all': 56},200,"{'lon': 118.97, 'lat': -3.54}",1547397761.0,1636806.0,"{'temp': 301.001, 'pressure': 1019.48, 'humidity': 100, 'temp_min': 301.001, 'temp_max': 301.001, 'sea_level': 1021.67, 'grnd_level': 1019.48}",,Majene,,,"{'message': 0.0029000000000000002, 'country': 'ID', 'sunrise': 1547330615, 'sunset': 1547374924}",,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 6.5600000000000005, 'deg': 321.503}"
9,,,404,,,,,city not found,,,,,,,
